precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH
ANDERSONROCKY TOP,91.0,0.0,0.0,4.0,0.0,14.0,2.0,0.0,0.0,0.0,4.0,3.0,303.0,0.0
BEDFORDEARLY VOTING - WRITE-INS,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
BLOUNTPROSPECT,270.0,2.0,0.0,6.0,0.0,39.0,1.0,0.0,6.0,0.0,8.0,7.0,1286.0,0.0
BRADLEYEARLY VOTING - WRITE-INS,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0
CANNONEARLY VOTING - WRITE-INS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CARTEREARLY VOTING - WRITE-INS,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
CHESTER4-1 WEST CHESTER - CITY,152.0,0.0,0.0,2.0,0.0,19.0,0.0,0.0,9.0,0.0,3.0,2.0,589.0,0.0
CHESTER5-1 EAST CHESTER - CITY,249.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,325.0,0.0
COFFEE17 NATIONAL GUARD ARMORY,183.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,285.0,0.0
CUMBERLANDEARLY VOTING - WRITE-INS,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
DAVIDSON1-13,808.0,0.0,0.0,4.0,0.0,46.0,2.0,0.0,3.0,0.0,0.0,26.0,339.0,0.0
DAVIDSON1-14,1167.0,1.0,0.0,4.0,0.0,93.0,5.0,0.0,2.0,0.0,11.0,21.0,945.0,0.0
DAVIDSON1-15,1209.0,0.0,0.0,7.0,0.0,109.0,0.0,0.0,4.0,0.0,8.0,28.0,1208.0,0.0
DAVIDSON1-16,405.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,2.0,0.0,1.0,10.0,187.0,0.0
DAVIDSON1-17,1053.0,0.0,0.0,5.0,0.0,50.0,2.0,0.0,13.0,0.0,6.0,18.0,186.0,0.0
DAVIDSON1-18,113.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0
DAVIDSON1-19,1172.0,0.0,0.0,2.0,0.0,116.0,4.0,0.0,8.0,0.0,2.0,28.0,716.0,0.0
DAVIDSON1-20,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0
DAVIDSON1-21,1254.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,12.0,15.0,0.0
DAVIDSON1-22,750.0,0.0,0.0,2.0,0.0,67.0,3.0,0.0,4.0,0.0,4.0,13.0,845.0,0.0
