precinct,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_MESSINA,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_COPELAND,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
ADA1401,0,5,1,219,0,0,0,35,0,0,66,1,139,0,206,4,0,63,10,35,857,0,1175
ADA1402,0,6,0,192,0,0,0,53,0,3,73,0,160,2,292,3,1,86,8,49,796,0,1237
ADA1403,1,3,0,75,1,0,0,26,0,0,18,0,53,2,121,2,1,41,5,18,289,0,479
ADA1404,1,12,2,310,0,0,1,44,0,4,78,0,239,2,317,13,7,148,13,79,1290,0,1869
ADA1405,1,5,0,211,1,0,1,32,0,3,71,0,224,3,331,8,3,90,9,54,994,0,1492
ADA1406,2,7,1,357,3,0,0,80,0,2,159,1,265,5,549,7,8,136,9,74,1691,0,2479
ADA1407,2,3,1,126,0,0,2,48,0,2,66,0,134,3,305,9,3,59,6,31,656,0,1072
ADA1408,3,4,1,172,1,0,1,56,0,1,79,0,119,1,474,4,1,99,6,57,726,0,1368
ADA1409,2,6,1,187,2,0,0,69,0,0,96,1,133,2,394,3,1,73,18,47,713,0,1251
ADA1410,0,5,2,120,0,0,2,50,0,0,48,0,123,2,470,10,1,59,30,61,648,0,1281
ADA1411,0,8,0,163,0,0,0,54,0,2,66,0,129,1,451,6,0,67,17,69,801,0,1412
ADA1412,1,4,0,91,0,0,1,12,0,0,44,0,72,3,139,3,0,40,10,17,400,0,612
ADA1413,1,10,0,340,2,0,1,91,0,3,145,0,252,5,728,5,0,264,13,92,1683,0,2790
ADA1414,2,9,1,314,1,0,0,38,0,2,118,0,186,4,456,4,1,209,25,95,1280,0,2074
ADA1415,0,8,1,197,0,0,0,79,0,2,91,0,200,4,277,3,2,93,7,47,870,0,1303
ADA1416,0,1,3,166,0,0,0,85,0,0,90,0,195,3,446,2,0,89,4,58,1009,0,1611
ADA1417,1,11,1,229,0,0,2,29,0,2,54,0,137,1,293,11,2,91,10,73,903,0,1384
ADA1418,4,7,4,300,0,0,3,64,0,1,123,0,205,9,464,8,4,96,11,64,1213,0,1869
ADA1419,2,11,0,164,0,0,0,18,0,0,44,1,102,3,320,3,4,69,9,66,677,0,1151
ADA1501,0,10,1,250,0,0,1,71,0,0,129,1,138,1,641,10,5,180,21,82,888,0,1828
ADA1502,4,14,2,228,0,0,0,59,0,1,88,0,122,1,559,3,3,122,12,72,789,0,1561
ADA1503,2,12,1,172,2,0,0,41,0,1,58,0,129,5,477,8,1,69,15,42,631,0,1248
ADA1504,1,14,1,290,1,0,0,40,0,3,99,1,146,6,733,11,0,162,27,95,1006,0,2040
ADA1505,0,11,0,144,1,0,0,28,0,1,45,2,85,7,393,3,1,82,17,55,581,0,1139
ADA1506,0,4,0,172,2,0,1,34,0,0,79,0,81,5,486,12,2,80,29,62,597,0,1273
ADA1507,0,5,1,166,0,0,1,32,0,3,58,0,125,3,439,11,7,103,19,85,687,0,1354
ADA1508,0,4,1,138,0,0,1,51,0,1,69,0,105,6,481,7,1,86,20,53,640,0,1294
ADA1509,2,1,0,199,1,1,0,30,0,3,70,0,115,4,727,6,6,82,35,128,943,0,1931
ADA1510,1,5,1,72,1,0,0,13,0,1,22,0,87,4,389,9,4,31,17,85,490,0,1029
ADA1511,3,4,0,95,0,0,0,12,0,0,34,2,67,3,341,0,1,44,21,45,451,0,906
ADA1512,2,5,1,64,0,0,0,12,0,1,24,0,76,3,343,4,4,42,21,72,422,0,911
ADA1513,2,3,1,95,0,0,0,16,0,0,26,0,72,2,386,3,3,44,22,71,506,0,1037
ADA1514,0,4,0,102,0,0,0,39,0,0,46,0,77,6,340,10,3,69,18,58,504,0,1008
ADA1515,1,3,0,80,0,0,0,20,0,1,32,1,62,1,229,1,1,32,7,45,404,0,720
ADA1601,0,4,1,149,1,0,0,92,0,0,93,1,188,2,890,5,1,54,18,77,859,0,1906
ADA1602,5,3,0,89,0,1,1,65,0,1,63,0,84,2,738,5,2,65,29,82,545,0,1468
ADA1603,2,3,0,141,0,0,2,60,1,0,46,0,88,1,1004,7,3,81,42,128,612,0,1878
ADA1604,4,8,0,84,0,0,1,18,0,1,47,0,73,3,700,8,3,43,28,62,423,0,1270
ADA1605,0,2,1,65,0,0,0,18,0,0,27,0,51,4,668,4,2,42,60,81,350,0,1211
ADA1606,0,3,0,60,0,0,0,17,0,0,11,0,38,3,682,2,4,33,38,65,286,0,1113
ADA1607,2,5,0,184,1,1,1,62,0,2,75,1,141,7,637,11,5,88,26,63,729,0,1566
ADA1608,0,4,0,75,3,0,2,17,0,0,10,0,71,4,456,9,8,32,27,71,491,0,1098
ADA1609,1,14,0,151,0,0,0,44,0,4,37,0,104,0,452,12,5,72,22,67,612,0,1242
ADA1610,0,8,2,157,0,0,1,36,0,1,67,0,117,3,672,9,5,116,33,111,723,0,1672
ADA1611,0,4,0,122,0,0,0,69,0,1,66,0,95,1,609,12,4,99,19,41,587,0,1372
ADA1612,2,2,0,65,0,0,0,10,0,2,28,0,58,7,325,8,2,42,16,47,332,0,779
ADA1613,1,3,0,114,1,0,2,48,0,1,51,0,83,4,566,17,2,59,29,58,483,0,1218
ADA1614,5,4,0,84,0,0,1,21,0,2,51,0,76,4,511,3,0,83,27,63,469,0,1160
ADA1615,1,7,0,97,0,0,0,22,0,0,52,0,95,1,766,5,6,79,33,111,547,0,1548
ADA1701,0,5,0,99,0,0,0,24,0,0,41,1,82,5,515,1,8,66,28,65,527,0,1215
ADA1702,0,7,0,139,0,0,1,27,0,3,36,1,103,9,507,14,2,91,37,77,574,0,1311
ADA1703,1,3,0,81,0,0,0,27,0,4,37,0,69,2,496,5,1,39,28,65,478,0,1114
ADA1704,3,3,2,57,0,0,2,35,0,0,19,0,40,2,587,5,3,18,32,71,315,0,1033
ADA1705,1,3,0,75,0,1,0,24,0,3,31,0,56,2,527,18,2,58,44,69,353,0,1073
ADA1706,0,4,0,88,1,0,0,16,1,0,49,0,76,4,695,6,2,73,51,88,454,0,1373
ADA1707,0,1,0,42,0,0,0,24,0,0,25,0,56,2,557,7,0,35,42,76,268,0,987
ADA1708,0,2,0,85,1,0,0,32,0,2,52,2,80,6,775,17,4,61,42,84,470,0,1459
ADA1709,1,4,0,49,0,0,0,25,0,1,30,0,54,1,691,4,7,50,27,82,306,0,1168
ADA1710,2,3,0,26,0,0,0,17,0,1,32,0,31,2,489,8,1,24,23,100,274,0,921
ADA1711,0,1,0,45,0,0,0,7,0,3,26,1,19,4,477,6,0,24,34,84,216,0,845
ADA1712,2,3,0,76,0,0,0,34,0,1,42,1,59,6,450,5,2,55,28,69,409,0,1024
ADA1713,1,3,1,97,1,0,0,41,0,1,56,0,98,5,568,14,4,86,31,97,608,0,1413
ADA1714,0,1,1,107,1,0,0,20,0,2,28,0,79,3,605,9,0,48,27,72,522,0,1286
ADA1715,2,3,0,73,0,1,1,20,0,0,39,0,70,3,637,2,4,60,46,89,469,0,1310
ADA1801,1,8,0,126,1,0,0,24,0,1,49,0,104,5,393,9,4,70,16,76,606,0,1179
ADA1802,0,7,2,223,0,1,0,30,0,1,78,0,131,2,490,1,4,141,28,86,806,0,1558
ADA1803,1,8,0,127,1,0,1,21,0,0,46,0,94,2,319,4,5,60,16,54,569,0,1029
ADA1804,0,0,0,10,0,0,0,0,0,0,1,0,11,1,28,0,0,7,2,1,83,0,122
ADA1805,0,4,0,81,0,1,0,32,0,4,40,0,66,4,856,5,2,43,42,86,462,0,1500
ADA1806,4,0,2,71,0,0,0,74,0,1,63,0,79,1,735,3,1,44,8,51,383,0,1226
ADA1807,4,5,0,91,0,1,0,22,0,2,33,3,71,2,763,16,4,51,49,108,490,0,1483
ADA1808,2,4,0,65,0,0,0,29,0,3,31,1,61,3,708,6,2,35,47,71,385,0,1257
ADA1809,1,1,1,70,0,0,0,48,0,2,62,0,73,7,805,8,4,77,42,98,513,0,1554
ADA1810,0,1,0,57,1,0,1,41,0,0,29,0,57,0,604,4,1,48,18,46,337,0,1058
ADA1811,0,2,0,58,0,0,0,58,0,1,42,0,75,3,742,7,0,67,10,77,396,0,1302
ADA1812,0,2,1,74,0,0,0,25,0,0,51,0,75,1,666,5,3,37,26,77,431,0,1246
ADA1813,0,4,0,87,0,0,0,39,0,2,40,0,54,2,702,1,3,42,19,76,356,0,1201
ADA1814,0,2,0,95,0,0,0,40,0,0,45,0,60,2,664,6,2,53,20,74,567,0,1388
ADA1815,2,8,1,121,0,0,0,47,0,1,69,0,105,2,621,9,3,78,30,86,640,0,1469
ADA1816,1,4,1,62,1,0,0,64,0,0,52,0,61,1,436,8,1,33,9,56,327,0,871
ADA1817,4,2,1,127,0,1,0,99,0,1,75,0,134,2,1188,7,2,90,27,127,686,0,2129
ADA1818,1,5,0,119,1,0,2,38,0,1,63,0,87,6,697,4,2,105,21,110,631,0,1576
ADA1901,2,4,0,144,0,0,3,68,0,1,100,0,152,0,801,4,2,107,21,89,816,0,1840
ADA1902,1,1,0,62,0,0,0,84,0,0,63,1,80,2,758,7,1,52,14,67,472,0,1373
ADA1903,1,3,0,61,0,0,1,15,0,0,16,0,64,0,212,1,0,25,11,25,312,0,586
ADA1904,0,7,1,101,1,0,0,32,0,0,54,1,100,0,523,10,0,69,17,48,608,0,1275
ADA1905,2,3,0,117,1,0,0,26,0,1,38,0,66,7,602,9,0,62,32,72,495,0,1279
ADA1906,5,7,0,84,1,0,0,27,0,0,44,0,95,2,775,4,1,58,36,77,461,0,1414
ADA1907,0,4,0,136,0,0,0,50,0,2,61,0,109,3,823,6,0,47,23,59,565,0,1526
ADA1908,1,2,0,15,1,0,0,28,0,1,19,0,33,0,624,1,0,16,21,49,167,0,878
ADA1909,0,1,1,52,1,0,0,41,0,1,41,0,66,3,951,1,0,50,27,69,292,0,1393
ADA1910,0,1,0,56,0,0,2,68,0,0,42,0,67,1,1333,7,2,71,49,86,351,0,1900
ADA1911,0,1,0,31,0,2,0,18,0,1,14,0,26,3,954,5,4,25,36,62,187,0,1276
ADA1912,0,0,0,23,0,0,0,24,0,2,12,0,22,0,791,1,3,19,24,56,135,0,1029
ADA1913,2,2,0,35,1,0,0,43,0,1,23,0,34,0,945,6,2,26,31,49,187,0,1246
ADA1914,0,1,0,20,0,0,0,14,0,0,21,1,27,3,781,3,2,25,39,53,162,0,1068
ADA1915,0,1,0,36,0,0,0,22,0,1,33,0,36,2,834,4,6,27,68,81,219,0,1241
ADA1916,1,1,0,46,0,0,0,16,0,1,21,0,49,3,545,8,1,27,28,43,257,0,912
ADA1917,0,1,1,43,0,0,0,36,0,0,27,1,18,2,605,3,3,26,31,56,163,0,889
ADA1918,4,4,0,81,0,0,0,71,0,1,50,1,93,2,1209,11,5,47,29,72,463,0,1838
ADA1919,1,1,1,49,0,0,0,60,0,0,39,0,61,3,1033,6,1,45,38,68,273,0,1467
ADA1920,0,2,0,50,0,0,0,29,0,2,26,0,58,0,466,1,1,28,12,28,235,0,771
ADA2001,2,7,1,235,0,0,0,46,0,1,68,0,138,1,403,7,3,160,8,59,878,0,1519
ADA2002,0,11,1,278,0,0,0,65,0,0,89,0,175,3,641,6,1,188,13,81,1077,0,2010
ADA2003,1,7,0,197,0,0,1,67,0,0,116,1,156,4,392,4,2,143,8,63,999,0,1615
ADA2004,1,6,0,218,0,0,1,26,0,3,74,0,134,2,406,19,1,132,16,78,909,0,1563
ADA2005,0,4,0,279,0,0,1,38,0,4,105,1,189,5,542,25,2,158,13,90,1146,0,1981
ADA2006,0,10,1,259,1,1,0,46,0,0,100,1,172,3,446,5,5,123,12,86,1076,0,1756
ADA2007,2,2,0,200,0,0,0,35,0,2,67,1,127,15,349,7,3,97,11,62,860,0,1404
ADA2008,1,8,0,205,1,0,1,28,0,3,61,0,153,5,494,15,4,105,32,111,1080,0,1846
ADA2009,1,12,0,251,0,0,0,53,0,4,85,1,174,5,638,14,6,142,29,110,1171,0,2115
ADA2010,1,7,1,189,0,0,0,38,0,3,56,0,111,2,421,5,1,92,14,93,786,0,1414
ADA2011,2,5,0,186,0,0,0,40,0,0,75,0,102,4,422,14,0,130,19,73,793,0,1455
ADA2012,0,4,0,123,0,0,0,13,0,4,34,0,74,0,324,5,2,72,19,46,598,0,1066
ADA2013,3,4,1,145,0,0,0,42,0,0,82,1,123,1,346,5,3,93,5,66,696,0,1215
ADA2101,0,8,0,321,0,0,0,78,0,1,137,0,222,9,454,12,0,137,12,61,1298,0,1983
ADA2102,3,8,0,224,0,0,0,33,0,0,72,0,163,6,433,14,2,98,16,89,1060,0,1718
ADA2103,1,5,2,133,0,0,1,42,0,1,42,0,95,4,321,4,5,66,13,30,640,0,1083
ADA2104,1,8,0,214,0,0,0,33,0,0,87,0,112,7,451,5,2,91,9,98,820,0,1483
ADA2105,1,2,0,137,0,0,1,22,0,0,52,0,77,1,288,4,2,77,4,35,503,0,914
ADA2106,0,14,1,343,0,0,0,70,0,2,136,1,185,3,784,17,4,220,20,123,1572,0,2743
ADA2107,2,6,0,222,1,0,0,36,0,1,55,0,130,4,391,11,2,102,9,51,808,0,1378
ADA2108,3,5,1,179,0,1,3,34,0,0,54,1,124,2,325,12,2,86,11,57,657,0,1152
ADA2109,2,5,0,126,0,1,0,29,0,1,55,0,90,9,456,10,5,102,14,66,599,0,1261
ADA2110,1,1,0,77,0,0,0,10,0,1,34,1,57,3,169,4,1,27,2,30,397,0,633
ADA2111,1,2,2,183,1,0,0,35,0,0,64,0,122,4,418,10,0,103,12,66,791,0,1404
ADA2112,3,5,1,231,1,0,1,39,0,2,71,2,175,6,659,4,2,125,17,93,1113,0,2019
ADA2113,1,5,0,132,0,0,3,25,0,0,46,0,106,4,406,6,1,54,11,70,738,0,1290
ADA2114,1,7,0,171,0,0,0,13,0,2,51,0,170,3,460,14,3,101,34,83,825,0,1523
ADA2115,2,11,0,178,0,0,5,8,0,1,77,1,146,9,452,3,3,135,34,98,886,0,1620
ADA2116,1,1,1,119,1,0,0,19,0,2,35,0,74,4,383,5,1,78,13,70,654,0,1208
ADA2201,2,7,0,190,1,0,1,30,0,0,59,0,149,1,372,3,2,103,13,85,855,0,1434
ADA2202,1,4,2,197,0,0,0,26,0,1,48,0,112,7,286,4,1,100,14,58,775,0,1245
ADA2203,3,10,0,166,1,0,2,29,0,0,51,0,139,2,319,18,1,76,32,74,807,0,1329
ADA2204,0,10,1,153,1,0,0,15,0,0,55,1,152,7,378,3,4,92,26,87,844,0,1441
ADA2205,0,1,0,148,1,0,0,22,0,2,49,0,75,4,153,0,0,55,9,28,522,0,771
ADA2206,5,4,0,241,2,0,0,34,0,0,68,0,145,8,389,7,3,127,10,66,1024,0,1634
ADA2207,1,14,1,260,1,0,2,34,0,2,97,0,162,5,254,7,5,140,20,62,1268,0,1761
ADA2208,2,10,0,251,0,0,0,22,0,4,66,2,153,8,399,18,2,138,12,108,1173,0,1858
ADA2209,1,4,0,146,0,0,2,14,0,1,32,0,112,2,217,8,3,63,15,61,667,0,1036
ADA2210,2,3,0,200,0,0,1,20,0,1,38,0,133,5,323,10,4,91,19,65,948,0,1465
ADA2211,0,8,0,227,0,0,1,19,0,4,48,1,164,2,236,8,5,84,16,54,1043,0,1448
ADA2212,0,5,0,183,0,0,0,23,0,3,37,0,149,5,232,12,0,50,8,44,812,0,1163
