precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
APACHEALPINE,15,0,0,2,20,1,0,0,0,0,0,0,37,0,0,0,13,0,0,2,0,55,60,2,13,216,38,107,60,216
APACHECANYON,351,3,4,4,143,9,0,0,2,3,3,1,22,0,1,0,0,0,3,5,0,13,1387,32,72,143,514,53,1387,143
APACHECHINLE,178,0,0,5,79,1,0,0,4,1,0,0,12,0,0,0,7,0,0,2,1,13,678,17,38,93,263,40,678,93
APACHECONCHO,42,3,1,2,73,1,0,4,0,4,0,0,157,1,0,0,16,0,0,8,0,285,228,11,44,1135,122,471,228,1135
APACHECORNFIELDS,129,0,2,2,53,4,0,0,0,1,0,0,5,0,0,1,2,0,0,1,1,1,349,3,16,33,190,12,349,33
APACHECOTTONWOOD,202,0,1,1,52,8,0,0,2,0,3,0,6,1,0,0,0,0,0,0,1,4,589,11,26,47,264,17,589,47
APACHEDENNEHOTSO,135,1,3,3,29,1,0,0,6,2,3,1,10,1,1,1,2,0,1,0,1,5,430,9,16,40,172,34,430,40
APACHEEAGAR,49,3,10,7,78,4,0,0,5,13,0,0,272,1,0,0,48,0,3,24,0,211,141,7,22,762,151,577,141,762
APACHEGANADO,287,3,2,3,93,7,0,0,1,0,0,0,12,0,0,0,2,0,0,1,0,9,801,19,43,88,395,25,801,88
APACHEGREER,7,1,0,0,9,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,0,23,34,0,1,87,17,41,34,87
APACHEHOUCK,162,4,5,2,72,3,0,0,1,2,0,0,14,0,1,0,0,0,0,1,0,7,407,9,47,102,248,26,407,102
APACHEKINLICHEE,192,1,2,2,61,5,0,0,1,2,2,1,2,0,1,0,0,0,0,0,0,2,520,8,27,42,263,11,520,42
APACHEKLAGETOH,129,3,1,4,55,3,0,0,1,3,0,0,6,1,0,1,0,0,0,1,0,5,359,12,35,54,195,18,359,54
APACHELUKACHUKAI,175,1,2,5,40,1,0,0,1,0,0,0,5,0,2,0,1,0,0,2,0,2,710,14,44,47,224,13,710,47
APACHELUPTON,107,1,0,1,43,1,0,0,1,1,0,0,4,1,0,0,0,0,0,1,0,2,261,8,12,50,153,10,261,50
APACHEMANY,265,3,7,1,69,4,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,1,732,7,45,51,349,11,732,51
APACHEMCNARY,19,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,4,11,23,0,66,11
APACHEMEXICAN,23,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,87,1,9,5,24,5,87,5
APACHENAZLINI,139,1,0,10,66,2,0,0,5,2,0,0,2,0,1,0,1,0,1,0,0,2,430,6,28,45,218,14,430,45
APACHENUTRIOSO,13,0,0,2,25,0,1,0,0,0,0,0,24,0,0,0,8,0,0,3,1,51,59,3,4,213,40,87,59,213
APACHEPUERCO,146,1,2,6,99,6,0,0,1,6,0,2,22,0,1,0,6,1,1,6,0,28,478,20,32,223,260,74,478,223
APACHERED,69,6,1,0,42,2,0,0,1,2,1,1,12,0,0,1,3,0,1,6,0,5,357,10,54,91,120,33,357,91
APACHEROCK,167,0,1,2,60,0,4,10,1,2,0,1,5,0,0,1,0,0,1,0,1,1,557,8,28,38,230,13,557,38
APACHEROUGH,93,1,2,0,39,3,0,0,1,1,1,0,4,0,1,0,0,0,0,0,0,1,381,1,12,25,138,9,381,25
APACHEROUND,135,1,1,3,27,2,0,0,2,0,2,0,2,0,0,0,0,0,1,0,1,1,66,5,14,470,169,9,66,470
APACHESAWMILL,114,0,0,1,52,6,0,0,2,2,0,0,3,1,0,0,0,0,0,4,0,3,337,16,28,39,173,15,337,39
APACHESPRINGERVILLE,63,8,5,8,73,5,0,0,3,8,0,0,135,0,0,1,17,0,1,11,2,176,145,5,28,521,162,354,145,521
APACHEST.,348,19,4,11,267,11,1,1,12,11,2,1,239,0,0,1,18,1,6,20,2,188,854,39,62,124,660,501,854,124
APACHESTEAMBOAT,218,0,3,2,69,4,0,0,0,1,0,0,4,0,0,0,0,0,0,1,1,4,630,11,22,38,296,11,630,38
APACHESWEETWATER,70,0,0,2,37,4,0,0,1,2,1,1,10,0,1,0,1,0,0,0,0,3,228,7,36,61,113,20,228,61
APACHETACHEE,71,1,3,1,32,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,245,6,5,22,110,7,245,22
APACHETEEC,65,0,1,2,22,1,0,0,0,0,0,0,5,0,1,0,3,0,0,3,1,4,303,7,27,61,91,17,303,61
APACHEVERNON,58,2,0,2,50,0,0,0,2,7,0,0,135,1,0,1,21,1,0,9,0,227,175,16,30,838,112,404,175,838
APACHEWHEATFIELDS,226,3,4,6,62,5,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,4,693,17,30,42,306,11,693,42
APACHEWIDE,121,1,1,1,34,4,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,3,335,5,19,37,162,9,335,37
COCHISE01 BE BENSON,105,2,3,1,84,2,0,0,5,20,0,0,92,0,1,3,24,1,1,22,0,172,304,24,48,630,197,341,304,630
COCHISE02 BE J-SIX,102,0,1,2,81,2,0,0,1,13,0,0,192,0,0,0,20,0,0,31,1,240,320,20,59,992,188,498,320,992
COCHISE03 BE SAN PEDRO,114,4,4,7,88,2,0,0,4,11,0,1,93,1,0,1,27,0,1,39,0,218,376,26,65,727,219,396,376,727
COCHISE04 BI BISBEE,190,2,4,4,272,2,1,2,1,6,0,0,16,2,0,0,7,0,0,4,0,34,699,58,26,179,474,70,699,179
COCHISE05 BI DON LUIS,169,4,0,11,142,2,0,1,1,4,1,0,26,0,0,0,13,0,2,11,0,101,499,27,41,397,328,159,499,397
COCHISE06 BI WARREN,168,2,2,8,239,0,0,3,0,3,0,0,45,1,0,0,16,0,0,12,0,81,577,40,50,330,419,158,577,330
COCHISE07 BOWIE,19,1,2,0,26,0,0,0,0,1,0,0,20,0,1,0,0,0,0,1,0,33,81,7,7,126,48,56,81,126
COCHISE08 COCHISE STRONGHOLD,107,1,1,1,98,0,0,1,0,13,0,0,137,1,0,2,32,0,0,18,0,284,292,29,40,883,208,487,292,883
COCHISE09 DO CALVARY,213,4,0,1,52,1,0,0,2,4,0,0,11,0,0,0,3,0,1,4,0,16,605,23,21,117,271,41,605,117
COCHISE10 DO CARLSON,290,4,0,6,91,3,0,0,6,8,1,0,32,0,0,0,6,0,0,29,0,30,795,20,34,272,394,112,795,272
COCHISE11 DO CASTRO PARK,277,5,0,5,71,1,0,0,1,1,0,0,13,0,0,0,2,0,0,5,1,11,815,24,21,104,359,34,815,104
COCHISE12 DO GADSDEN,180,4,2,3,67,1,0,0,0,1,0,0,12,0,0,0,0,0,0,12,1,19,561,17,22,119,257,45,561,119
COCHISE13 DO SUNNYSIDE,164,1,3,4,62,1,0,0,0,3,0,0,23,0,0,0,11,0,0,6,0,47,553,27,22,201,235,90,553,201
COCHISE14 GREATER SAN PEDRO,86,3,0,1,72,3,0,1,2,8,0,0,156,0,1,2,15,1,1,23,1,221,241,28,81,869,165,431,241,869
COCHISE15 HEREFORD,102,1,1,2,112,2,0,0,2,11,0,0,162,0,0,1,40,0,1,45,0,254,359,21,62,948,220,516,359,948
COCHISE16 HUACHUCA,59,2,2,2,46,1,0,2,1,4,1,0,55,0,0,1,6,0,0,13,0,86,203,14,55,373,112,167,203,373
COCHISE17 MCNEAL,46,1,3,3,70,2,0,0,0,13,1,0,102,0,0,0,10,0,0,8,0,102,168,15,31,452,125,236,168,452
COCHISE18 NACO,86,0,0,1,48,0,0,0,0,0,0,0,8,0,0,0,1,0,0,6,0,19,253,11,15,92,135,34,253,92
COCHISE19 PALOMINAS,62,0,0,0,68,2,0,1,1,10,1,0,130,1,0,1,25,0,2,20,0,148,241,18,56,650,132,339,241,650
COCHISE20 PIRTLEVILLE,153,2,0,0,58,2,0,1,0,4,0,0,29,0,0,1,8,0,0,5,0,41,514,23,22,211,215,88,514,211
COCHISE21 POMERENE,55,0,0,4,79,2,0,1,3,4,0,0,85,0,0,0,9,0,2,23,1,134,216,15,31,528,140,261,216,528
COCHISE22 PORTAL,31,0,0,2,25,0,0,0,0,2,1,0,18,0,0,0,7,0,1,3,0,48,96,6,4,119,58,80,96,119
COCHISE23 SAN SIMON,12,0,1,0,12,0,0,0,1,3,0,0,16,0,0,0,1,0,0,4,0,23,27,3,2,134,25,48,27,134
COCHISE24 ST DAVID,87,4,1,0,76,1,0,0,5,25,0,0,235,1,0,1,25,0,0,37,0,270,290,16,72,1044,169,599,290,1044
COCHISE25 SUNIZONA,36,0,0,3,33,1,0,0,2,4,0,0,37,0,0,1,8,0,1,6,0,68,104,8,10,259,73,127,104,259
COCHISE26 SV AVENIDA DEL SOL,161,1,1,3,84,0,0,0,5,14,0,0,129,1,0,3,31,0,3,37,0,200,486,23,69,837,250,423,486,837
COCHISE27 SV BUFFALO SOLDIER,154,0,0,2,111,2,0,0,3,12,0,0,207,1,1,2,87,0,2,49,0,283,646,32,120,1137,269,647,646,1137
COCHISE28 SV BUSBY,108,1,1,4,81,2,0,1,3,9,0,0,83,1,0,2,25,0,0,17,2,162,374,25,62,538,197,304,374,538
COCHISE29 SV CARMELITA,67,0,0,2,58,0,0,1,1,9,0,0,59,1,0,0,19,0,0,17,0,93,240,14,49,402,127,199,240,402
COCHISE30 SV CLOUD,37,0,0,0,42,2,0,0,0,5,0,0,47,0,0,0,7,0,1,7,0,62,189,9,33,295,81,129,189,295
COCHISE31 SV COLLEGE,87,2,0,3,68,1,0,0,3,13,0,1,103,1,0,2,34,0,0,47,1,159,370,23,75,693,161,364,370,693
COCHISE32 SV COUNTRY CLUB,162,0,0,4,68,0,1,1,2,19,0,1,199,4,0,1,104,1,1,103,2,350,490,16,75,1194,234,787,490,1194
COCHISE33 SV ESTATES,95,2,1,3,92,3,0,0,1,9,2,1,100,1,2,1,16,0,2,30,1,208,378,21,54,734,196,374,378,734
COCHISE34 SV HOPI,96,0,2,5,67,1,1,0,5,9,2,0,83,0,1,1,22,0,0,31,0,128,352,21,52,543,171,282,352,543
COCHISE35 SV MOSON,82,4,2,2,73,1,0,2,1,20,1,0,189,0,0,1,22,0,3,26,0,271,327,23,82,953,164,534,327,953
COCHISE36 SV PUEBLO DEL SOL,92,3,0,4,56,1,0,0,3,10,0,0,85,1,0,1,29,0,1,32,2,133,292,20,55,536,156,297,292,536
COCHISE37 SV RAMSEY,77,1,0,1,65,4,0,0,0,8,0,0,150,1,0,3,29,0,3,31,2,193,294,16,42,727,148,420,294,727
COCHISE38 SV SNYDER,84,0,0,1,54,2,0,0,3,10,0,0,75,1,1,2,26,1,2,28,0,122,281,17,55,403,141,271,281,403
COCHISE39 SV SOLDIER CREEK,113,4,0,3,115,3,0,0,2,17,1,0,99,1,1,3,18,1,1,29,0,160,496,35,109,723,238,333,496,723
COCHISE40 SV TOWN & COUNTRY,116,2,0,2,69,0,0,0,1,16,2,0,150,1,0,1,51,0,3,45,0,221,398,13,70,889,189,491,398,889
COCHISE41 SV VILLAGE MEADOWS,148,2,1,4,73,3,0,0,5,22,0,0,205,1,0,2,61,0,0,49,0,252,507,19,88,1028,231,597,507,1028
COCHISE42 SV VISTA VILLAGE,109,2,3,2,61,0,0,0,1,10,2,1,109,0,0,0,19,0,0,29,1,154,366,25,76,617,177,326,366,617
COCHISE43 SV YAQUI,111,0,2,5,116,0,1,0,1,19,1,0,199,0,0,1,82,1,2,61,1,332,449,18,67,1174,234,700,449,1174
COCHISE44 TOMBSTONE,96,4,1,0,86,1,0,0,2,10,0,0,73,1,0,0,17,0,0,11,1,281,278,24,60,828,188,396,278,828
COCHISE45 WEBB,33,1,0,1,28,0,0,1,3,5,0,1,40,0,1,1,5,0,1,7,1,79,116,9,16,306,63,144,116,306
COCHISE46 WHETSTONE,92,1,2,6,75,2,0,1,3,12,1,0,136,3,0,2,29,3,2,33,0,286,330,25,80,1087,178,510,330,1087
COCHISE47 WI KANSAS SETTLEMENT,86,4,2,4,67,2,0,0,0,4,0,0,117,0,0,1,16,0,1,26,0,189,248,13,39,663,165,354,248,663
COCHISE48 WI STEWART,58,4,1,6,46,0,0,0,1,7,0,0,110,1,0,1,10,0,1,16,0,188,177,14,35,623,115,335,177,623
COCHISE49 WI WILLCOX,59,1,7,7,44,1,0,0,0,2,0,0,68,0,0,0,8,0,1,18,0,102,177,18,34,406,119,199,177,406
GREENLEEBLUE,7,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,1,0,1,25,11,11,1,25
GREENLEECLIFTON 1,177,16,1,0,72,2,0,0,2,1,0,0,27,0,0,0,1,0,1,5,0,24,326,9,38,226,268,61,326,226
GREENLEECLIFTON 2,99,9,2,6,55,1,0,0,0,3,0,0,19,0,0,0,3,0,1,6,0,33,192,7,13,204,172,65,192,204
GREENLEEDUNCAN,62,7,1,13,70,3,0,0,3,9,0,1,73,0,0,0,5,0,0,15,0,75,135,11,47,488,156,181,135,488
GREENLEEEAGLE,6,0,0,1,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,2,0,1,13,15,19,2,13
GREENLEEEAST PLANTSITE,10,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,4,0,0,2,0,17,62,2,23,145,24,37,62,145
GREENLEEMORENCI,56,4,1,2,54,0,0,0,1,3,0,0,51,1,0,1,7,0,0,12,1,61,222,18,54,461,117,138,222,461
GREENLEEYORK/SHELDON,80,6,4,6,48,4,0,0,0,11,0,0,38,0,0,0,4,0,0,7,0,57,152,12,23,330,148,117,152,330
LA PAZ051 PARKER,138,5,1,2,146,3,0,2,3,12,0,0,99,1,0,0,31,0,1,20,0,242,702,43,85,951,295,409,702,951
LA PAZ052 POSTON,27,1,0,0,28,0,0,0,0,1,0,0,12,0,0,0,0,0,0,3,0,10,126,3,12,61,56,26,126,61
LA PAZ054 UPRIVER,52,1,3,2,39,1,0,0,1,4,0,0,45,1,0,2,21,0,0,34,0,306,220,6,31,958,98,414,220,958
LA PAZ055 BOUSE,23,0,2,0,11,0,0,0,0,2,0,0,24,1,0,1,5,0,0,4,0,94,53,3,9,280,36,131,53,280
LA PAZ056 WENDEN,10,0,1,0,2,0,0,0,0,2,0,0,13,0,0,0,2,0,0,2,0,10,23,0,4,85,13,29,23,85
LA PAZ057 SALOME,29,0,1,0,21,1,0,0,0,6,0,0,44,0,0,1,12,0,1,8,0,151,121,0,13,461,52,223,121,461
LA PAZ058 QUARTZSITE 2,43,2,0,2,38,1,0,0,3,14,0,0,39,2,0,2,9,0,2,9,0,163,149,10,32,551,86,243,149,551
LA PAZ059 CIBOLA,5,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,27,19,1,2,67,8,34,19,67
LA PAZ060 EHRENBERG,17,1,0,0,8,0,0,0,1,1,0,0,20,0,0,0,3,0,0,2,0,47,64,4,6,179,26,74,64,179
LA PAZ062 VICKSBURG,7,0,0,0,13,0,0,0,2,4,0,0,20,0,0,1,0,0,0,1,0,40,32,1,8,137,20,68,32,137
MOHAVE201-WIKIEUP,3,1,0,0,2,0,0,0,2,1,0,0,16,0,0,0,1,0,0,4,0,37,20,2,4,149,6,61,20,149
MOHAVE202-WHITE HILLS,6,0,0,1,7,0,0,0,0,0,0,0,6,0,0,0,4,0,0,2,0,28,32,3,9,137,14,40,32,137
MOHAVE203-YUCCA,16,0,2,0,24,0,0,0,1,1,0,0,28,0,0,0,2,0,0,6,1,112,72,8,10,332,42,151,72,332
MOHAVE204-CHLORIDE,17,2,0,0,26,1,0,1,1,2,0,0,37,0,0,0,3,0,1,10,0,83,74,3,9,332,46,137,74,332
MOHAVE205-NORTH CANYON,1,0,1,0,6,0,0,0,1,6,0,0,40,1,0,0,7,1,7,4,0,68,26,10,96,781,8,135,26,781
MOHAVE206-OATMAN,4,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,1,0,1,2,0,30,17,1,3,81,11,40,17,81
MOHAVE207-DESERT HILLS,64,0,1,3,43,1,0,0,1,8,0,0,60,2,0,0,22,0,0,21,0,355,265,6,25,1003,112,469,265,1003
MOHAVE208-MEADVIEW,53,1,2,0,45,0,0,1,0,3,0,0,44,0,0,1,5,0,0,5,0,156,153,2,5,479,101,214,153,479
MOHAVE209-DOLAN SPRINGS,52,0,0,2,55,3,0,0,0,3,0,0,36,0,0,1,4,0,1,8,0,115,178,7,32,503,112,168,178,503
MOHAVE210-GOLDEN VALLEY,221,8,3,7,172,5,0,0,7,10,0,0,278,0,0,6,37,0,6,62,0,899,821,39,114,3175,416,1305,821,3175
MOHAVE211-BULLHEAD CITY,1040,12,6,27,563,22,0,0,18,47,6,0,783,5,2,10,190,2,3,243,0,2601,3675,125,384,9393,1670,3910,3675,9393
MOHAVE212-MOHAVE VALLEY,516,2,8,18,343,14,0,0,11,28,3,2,532,2,1,1,102,0,6,124,1,1526,1953,82,234,6002,901,2339,1953,6002
MOHAVE213-HACKBERRY,54,2,0,1,53,2,0,0,2,8,0,0,148,0,0,1,19,0,1,15,0,330,227,8,45,988,112,524,227,988
MOHAVE214-TRUXTON,8,0,0,0,13,0,0,0,1,1,0,0,22,0,0,0,1,0,1,3,0,27,16,1,2,81,21,56,16,81
MOHAVE215-KINGMAN CENTRAL,216,7,6,9,185,5,0,0,4,19,2,1,310,2,2,1,59,0,0,56,0,517,830,54,187,2415,428,973,830,2415
MOHAVE216-KINGMAN NORTH,265,3,8,17,199,14,0,0,7,20,0,1,385,1,0,2,61,0,4,49,0,792,933,45,177,3127,506,1322,933,3127
MOHAVE217-KINGMAN SOUTH,319,4,10,17,229,8,1,2,11,36,8,0,595,2,0,2,149,0,3,122,1,1153,1231,58,244,4022,587,2082,1231,4022
MOHAVE218-KINGMAN EAST,313,4,4,19,255,8,0,3,14,30,2,0,549,1,1,7,86,0,7,83,3,1145,1210,71,292,4545,603,1928,1210,4545
MOHAVE219-LAKE HAVASU N.,387,8,3,11,287,5,0,0,13,30,4,1,425,2,0,9,126,0,6,133,0,1788,1331,49,192,5375,701,2537,1331,5375
MOHAVE221-LITTLEFIELD,30,1,1,0,37,0,0,0,2,0,0,0,40,0,0,2,9,0,0,5,0,129,237,4,27,672,69,187,237,672
MOHAVE222-GOLDEN SHORES,72,1,4,5,36,1,0,1,2,3,0,0,52,0,0,0,12,0,1,7,1,179,197,12,7,618,119,257,197,618
MOHAVE223-MOCCASIN,2,1,0,0,1,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,28,1,4,35,5,19,28,35
MOHAVE224-PEACH SPRINGS,18,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,2,194,4,5,28,30,7,194,28
NAVAJOANTELOPE,19,1,0,1,24,0,0,0,0,1,0,0,28,0,0,0,2,0,0,3,0,15,70,4,11,150,45,49,70,150
NAVAJOBISON,2,0,0,0,3,0,0,0,0,1,0,0,14,0,0,0,1,0,0,1,0,14,10,0,1,59,5,31,10,59
NAVAJOBLACK BUTTES,87,2,0,1,52,1,0,0,0,2,0,0,22,0,0,0,1,0,0,4,0,18,318,13,17,132,143,47,318,132
NAVAJOCEDAR VALLEY,34,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89,2,2,10,46,1,89,10
NAVAJOHUBBELL,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,11,2,3,4,11
NAVAJOJUNIPER,6,0,0,0,5,0,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,18,19,1,3,85,11,30,19,85
NAVAJOMOGOLLON,13,0,0,0,9,0,0,0,0,1,0,0,34,0,0,0,5,0,0,5,0,40,41,1,7,161,22,85,41,161
NAVAJOPAINTED DESERT,25,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,62,2,3,15,34,18,62,15
NAVAJOPIONEER,12,0,0,0,17,1,0,0,0,6,0,0,119,0,0,0,9,0,0,12,0,86,51,5,16,460,30,232,51,460
NAVAJORED BUTTE,142,1,2,3,63,2,0,0,3,0,0,0,11,0,0,0,1,0,0,1,0,4,445,18,27,59,213,20,445,59
NAVAJOSITGREAVES,32,0,0,1,29,1,0,0,0,7,0,0,86,0,0,0,12,0,0,17,0,101,123,6,21,480,63,223,123,480
NAVAJOSTONE BUTTE,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,2,15,0,30,2
NAVAJOSUNRISE,93,1,0,1,57,1,0,0,0,4,0,0,56,0,0,0,13,0,0,15,0,77,360,10,23,361,153,165,360,361
NAVAJOWOODLAND,5,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,12,17,0,3,66,9,22,17,66
PIMA1,306,2,4,1,228,3,0,0,6,29,2,0,297,1,0,3,60,0,3,83,0,416,467,19,32,462,544,900,467,462
PIMA10,582,3,1,9,263,2,1,0,6,23,5,0,341,6,1,2,225,0,2,238,1,575,749,5,36,825,860,1425,749,825
PIMA100,150,1,0,1,114,0,2,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,1112,46,88,603,266,7,1112,603
PIMA101,292,4,3,4,281,4,0,5,4,14,0,0,236,0,0,1,29,0,5,40,0,405,618,22,41,637,588,734,618,637
PIMA102,41,0,1,0,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1074,32,67,467,66,3,1074,467
PIMA103,190,3,1,1,190,3,0,2,10,13,1,0,245,1,0,2,33,0,4,40,0,426,644,16,12,273,388,775,644,273
PIMA104,713,7,6,13,504,4,0,1,6,20,2,0,364,0,1,1,113,0,0,138,0,446,1252,29,117,1468,1247,1091,1252,1468
PIMA105,95,1,0,0,66,1,0,0,0,1,0,0,12,0,0,0,1,0,0,5,0,20,642,26,55,419,163,39,642,419
PIMA106,114,1,0,5,64,2,0,0,0,1,0,0,18,1,0,0,3,0,0,10,0,46,594,7,45,570,186,79,594,570
PIMA107,588,6,2,11,335,5,0,3,7,13,1,0,135,0,0,1,28,0,0,29,0,150,1358,55,79,782,947,364,1358,782
PIMA108,38,1,1,1,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1842,60,100,940,71,1,1842,940
PIMA109,166,2,0,1,100,0,0,0,0,2,0,0,12,0,1,0,2,0,0,2,1,6,1237,28,159,1861,269,26,1237,1861
PIMA11,552,1,0,4,334,4,0,2,6,28,0,0,520,3,1,2,273,1,1,233,1,710,573,21,98,1579,895,1779,573,1579
PIMA110,231,5,5,5,208,1,0,1,4,5,2,0,130,1,1,1,30,1,2,33,0,279,829,24,15,69,455,489,829,69
PIMA111,638,6,5,6,330,3,0,1,2,5,2,0,89,0,0,0,12,0,2,35,1,113,956,33,58,587,988,261,956,587
PIMA112,482,5,3,6,285,3,0,0,2,4,1,1,51,0,1,0,10,0,1,25,0,100,1256,17,79,1011,784,196,1256,1011
PIMA113,600,8,3,11,344,2,1,3,4,12,0,1,243,2,0,1,77,0,5,84,1,434,1074,32,100,719,968,864,1074,719
PIMA114,679,13,0,9,299,3,0,0,2,2,0,1,33,0,0,0,12,1,1,17,0,57,151,10,42,195,1003,126,151,195
PIMA115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,24,103,1490,0,0,1226,1490
PIMA116,43,1,1,1,27,1,0,0,0,2,0,0,10,0,0,0,4,0,1,10,0,43,1438,54,99,1264,74,70,1438,1264
PIMA117,8,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,2,0,0,3,0,38,1043,31,76,674,14,52,1043,674
PIMA118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,31,82,873,0,0,1309,873
PIMA119,19,0,1,0,9,0,0,0,0,0,0,0,14,0,0,0,2,0,0,4,0,14,835,34,89,587,29,34,835,587
PIMA12,592,3,4,5,404,3,0,1,8,37,5,1,659,2,2,3,254,2,2,262,0,860,1688,28,115,1833,1011,2097,1688,1833
PIMA120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,45,81,851,0,0,1123,851
PIMA121,234,0,1,3,137,7,0,3,8,7,0,0,94,2,1,2,67,0,2,67,1,253,712,22,53,651,382,504,712,651
PIMA122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,22,68,660,0,0,764,660
PIMA123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487,48,160,1200,0,0,1487,1200
PIMA124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,15,46,518,0,0,524,518
PIMA125,507,0,1,5,447,3,0,2,4,13,1,1,158,1,0,2,90,0,3,82,2,278,783,11,47,694,963,635,783,694
PIMA126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524,20,42,619,0,0,524,619
PIMA127,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1804,23,158,2797,5,5,1804,2797
PIMA128,795,3,3,15,311,6,0,0,9,32,2,0,331,9,1,2,278,2,3,310,2,784,850,31,74,753,1133,1765,850,753
PIMA129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,27,55,644,0,0,792,644
PIMA13,247,1,0,1,132,0,0,0,0,17,0,0,183,0,0,0,110,0,0,73,0,252,1038,36,96,1004,381,635,1038,1004
PIMA130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,26,93,1191,0,0,1126,1191
PIMA131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,14,46,812,0,0,734,812
PIMA132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,27,96,1024,0,0,1082,1024
PIMA133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,45,120,1098,0,0,1124,1098
PIMA134,11,0,0,0,30,0,0,1,0,3,0,0,20,0,0,1,6,0,0,11,0,22,694,18,80,757,41,63,694,757
PIMA135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1,3,13,0,0,152,13
PIMA136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2,2,8,0,0,87,8
PIMA137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4,2,3,0,0,94,3
PIMA138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,6,3,11,0,0,318,11
PIMA139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,2,13,121,0,0,222,121
PIMA14,161,0,1,5,142,1,0,0,1,16,2,1,265,2,0,1,37,0,5,58,0,427,1155,19,130,1315,310,815,1155,1315
PIMA140,15,0,0,1,7,0,0,0,0,6,0,0,25,0,0,0,5,0,0,7,0,52,217,4,18,264,23,95,217,264
